Date,Area,value
2018-09-01,內湖區,489823.270787821
2018-09-01,士林區,500947.613097826
2018-09-01,北投區,449758.990221322
2018-10-01,松山區,642042.170307557
2018-10-01,信義區,591092.400700767
2018-10-01,大安區,716983.635102651
2018-10-01,中山區,594460.452854148
2018-10-01,中正區,653081.270375879
2018-10-01,大同區,524918.782578108
2018-10-01,萬華區,478165.823838471
2018-10-01,文山區,444941.96002757
2018-10-01,南港區,519182.808341877
2018-10-01,內湖區,493359.785996235
2018-10-01,士林區,516000.374211882
2018-10-01,北投區,447055.566834145
2018-11-01,松山區,638880.320444844
2018-11-01,信義區,580833.882537572
2018-11-01,大安區,713011.50362017
2018-11-01,中山區,608473.109432531
2018-11-01,中正區,628089.427344344
2018-11-01,大同區,556262.085568732
2018-11-01,萬華區,504447.242017961
2018-11-01,文山區,441734.749936386
2018-11-01,南港區,512365.905481286
2018-11-01,內湖區,501011.535996584
2018-11-01,士林區,506302.946516455
2018-11-01,北投區,414763.288276999
2018-12-01,松山區,637088.443013704
2018-12-01,信義區,608884.697788746
2018-12-01,大安區,700056.965780816
2018-12-01,中山區,596150.325416727
2018-12-01,中正區,615296.822119733
2018-12-01,大同區,529761.363189074
2018-12-01,萬華區,482933.092707072
2018-12-01,文山區,445829.063066709
2018-12-01,南港區,521883.811003116
2018-12-01,內湖區,505834.233650688
2018-12-01,士林區,520546.008154031
2018-12-01,北投區,456703.774689747
2019-01-01,松山區,651552.024444575
2019-01-01,信義區,619504.528669804
2019-01-01,大安區,716334.353753792
2019-01-01,中山區,622843.990643966
2019-01-01,中正區,653927.240707441
2019-01-01,大同區,544855.375327497
2019-01-01,萬華區,490136.7433408
2019-01-01,文山區,449362.135089299
2019-01-01,南港區,503788.596080149
2019-01-01,內湖區,511228.88353216
2019-01-01,士林區,508948.694464635
2019-01-01,北投區,440901.655792466
2019-02-01,松山區,663115.606954543
2019-02-01,信義區,610514.886320899
2019-02-01,大安區,736237.729599849
2019-02-01,中山區,628201.048658497
